SeriesID,Khutab/Bayanat Collection Name,Author/Scholar,Already In Our Maktaba (Author Match Count),Maktaba (Library),Format Found Online,Status,Download Sources / Reference Links
1,خطب الجمعة (مجموعة كاملة),الشيخ عبد العزيز بن باز,53,Maktaba Shamela (partial - author's other works present; dedicated khutab-only set not confirmed),PDF + Audio,PARTIAL IN LIBRARY - dedicated Friday-khutab set not confirmed as a distinct entry,Archive.org (ktbEmambinbaz) / Archive.org (way_664) / binbaz.org.sa official site
2,خطب الجمعة (مجموعة كاملة),الشيخ محمد بن صالح العثيمين,147,Maktaba Shamela (partial - author's other works present; dedicated khutab-only set not confirmed),PDF + Audio,PARTIAL IN LIBRARY - dedicated Friday-khutab set not confirmed as a distinct entry,Archive.org (124_20240804) / binothaimeen.net official Speeches section / khutabaa.com (243 sermons indexed)
3,دروس ومحاضرات الشيخ الألباني,الشيخ محمد ناصر الدين الألباني,97,Maktaba Shamela (partial - author's other works present; dedicated khutab-only set not confirmed),PDF (Mawsuah) + Audio,PARTIAL IN LIBRARY,Archive.org (alalbany_pdf - full encyclopedia) / Archive.org (Albani-Droos)
4,خطب ودروس الشيخ صالح الفوزان,الشيخ صالح بن فوزان الفوزان,62,Maktaba Shamela (partial - author's other works present; dedicated khutab-only set not confirmed),PDF + Audio,PARTIAL IN LIBRARY,Archive.org (sfawzan_pdf_1 - full PDF library) / Archive.org (Alfawzan.Books)
5,محاضرات وخطب الشيخ عائض القرني,الشيخ عائض بن عبدالله القرني,55,Maktaba Shamela (partial - author's other works present; dedicated khutab-only set not confirmed),Mostly Audio (458+ lectures) - PDF only for his written books,PARTIAL IN LIBRARY - lecture/khutab content itself is audio-only,Archive.org (Ayed_Al-Qarni_458_Lectures_Mp3) / Archive.org (3aedAlqrni1) / islamweb.net audio archive
6,خطب ومؤلفات الشيخ يوسف القرضاوي,الشيخ يوسف القرضاوي,5,NOT IN LIBRARY (only incidental mentions),PDF,NOT IN LIBRARY - only 5 incidental title/author mentions found,Archive.org (alqaradawy - full library) / Archive.org (qaradawi.net)
7,خواطر وخطب الشيخ الشعراوي,الشيخ محمد متولي الشعراوي,4,NOT IN LIBRARY (only incidental mentions),PDF (25-volume Khawatir set) + Video,NOT IN LIBRARY - only 4 incidental mentions found,Archive.org (Sharawy.netKhwater.24 - 25 complete volumes) / Archive.org (essam1471991_gmail_Sh2_20160621)
8,خطب ومحاضرات الشيخ محمد حسان,الشيخ محمد حسان,8,NOT IN LIBRARY (only incidental mentions),Audio/Video only - no PDF collection found,NOT IN LIBRARY - and only audio/video sources found (no text),Archive.org (Mp3-___-----MAWSO3AH-428 - 428 lectures) / Archive.org (Khotab_Mohamed-Hassan-video)
9,كتب وخطب الشيخ علي الطنطاوي,الشيخ علي الطنطاوي,12,Maktaba Shamela (partial - author's other works present; dedicated khutab-only set not confirmed),PDF,PARTIAL IN LIBRARY,Archive.org (1959_20210304 - rare/old editions) / Archive.org (alabadiaschool_gmail_20190110_1218)
10,محاضرات وخطب الشيخ صالح المغامسي,الشيخ صالح بن عواد المغامسي,2,NOT IN LIBRARY (only incidental mentions),Audio/Video only - no PDF collection found,NOT IN LIBRARY - and only audio/video sources found (no text),Archive.org (Mawso3a_Mghamsi-video - 162 videos) / Archive.org (saleh_-almaghamsy-mp3)
11,المواعظ والخطب (كتب تراثية),ابن الجوزي,80,Maktaba Shamela (real classical works present - مواعظ ابن الجوزي، الياقوتة، إلخ),Text (already in library),COMPLETE IN LIBRARY - classical works already catalogued with real text,N/A - already in Maktaba Shamela
12,أطواق الذهب في المواعظ والخطب,الزمخشري,7,Maktaba Shamela (real classical work present),Text (already in library),COMPLETE IN LIBRARY,N/A - already in Maktaba Shamela
13,الخطب والمواعظ,أبو عبيد القاسم بن سلام,0 (title-only match, not counted above),Maktaba Shamela (real classical work present),Text (already in library),COMPLETE IN LIBRARY,N/A - already in Maktaba Shamela
14,147 standalone خطب/مواعظ/محاضرات titles already catalogued,متفرقون (various),147 standalone titles,Maktaba Shamela,Text (already in library),COMPLETE IN LIBRARY - no external action needed,N/A - already in Maktaba Shamela
