Maktaba (Library) Name,Primary Format Type,Total Books,Searchable Text Books,Scanned PDF / Audio Archives,Total Pages Count
Maktaba Shamela,Searchable Text,25991,25991,0,5199770
Maktaba Al-Maknoon (PDF Archive),Scanned PDF / Audio,3113,0,3113,0
Jumma Bayanat,Scanned PDF / Audio,2290,0,2290,0
Maktaba Jibreel (Mobile),Searchable Text,1839,1839,0,692076
Maktaba Jibreel (Desktop),Searchable Text,1187,1187,0,463063
Maktaba Shamila Urdu,Searchable Text,687,687,0,324861
Maktaba Jibreel (PDF Archive),Scanned PDF / Audio,610,0,610,0
Maktaba Al-Maknoon,Searchable Text,358,358,0,90106
Maktaba Islam (PDF Archive),Scanned PDF / Audio,81,0,81,0
Maktaba Islam,Searchable Text,43,43,0,9380
Tib o Hikmat,Searchable Text,42,42,0,2700
TOTAL MASTER INVENTORY,Summary,36241,30147,6094,6781956
