Maktaba (Library) Name,Primary Format Type,Total Books,Total Pages Count,Est. Raw Text Size,Est. Database Storage Size,Storage Share (%)
Maktaba Shamela,Searchable Text,25991,5199770,7.26 GB,119.98 GB,76.7%
Maktaba Jibreel (Mobile),Searchable Text,1839,692076,990.0 MB,15.97 GB,10.2%
Maktaba Jibreel (Desktop),Searchable Text,1187,463063,662.4 MB,10.68 GB,6.8%
Maktaba Shamila Urdu,Searchable Text,687,324861,464.7 MB,7.50 GB,4.8%
Maktaba Al-Maknoon,Searchable Text,358,90106,128.9 MB,2.08 GB,1.3%
Maktaba Islam,Searchable Text,43,9380,13.4 MB,221.6 MB,0.1%
Tib o Hikmat,Searchable Text,42,2700,3.9 MB,63.8 MB,0.0%
Maktaba Jibreel (PDF Archive),Scanned PDF / Audio,610,0,PDF Catalog,< 1 MB,0.0%
Maktaba Al-Maknoon (PDF Archive),Scanned PDF / Audio,3113,0,PDF Catalog,< 1 MB,0.0%
Jumma Bayanat,Scanned PDF / Audio,2290,0,PDF Catalog,< 1 MB,0.0%
Maktaba Islam (PDF Archive),Scanned PDF / Audio,81,0,PDF Catalog,< 1 MB,0.0%
TOTAL MASTER STORAGE,Summary,36241,6781956,9.47 GB,156.49 GB,100.0%
