SeriesID,Khutbat & Bayanat Series Title,Author / Scholar,Maktaba (Library),Volumes Present Count,Volumes Present List,True Total Volumes (Internet Reference),Missing / Remaining Volumes List,Status,Online Download Available?,Online Available Volumes Count,Download Sources / Reference Links,"Researched Direct Links (2026-08-10, unverified by download - review before use)","Text Status In Library (auto-matched by title, 2026-08-10 - verify low-confidence matches)"
1,8 - اطاعت رسول ﷺ خطبات حکیم العصر سے,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13156 ""8 - اطاعت رسول ﷺ خطبات حکیم العصر سے"" (high confidence, 1.00)"
2,آسان خطبات برائے جمعہ وعیدین ونکاح,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13294 ""آسان خطبات برائے جمعہ وعیدین ونکاح"" (high confidence, 1.00)"
3,أطواق الذهب في المواعظ والحالطب,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (10 pages, avg 3127 chars/page) | matched: BookID 57163 ""أطواق الذهب في المواعظ والحالطب"" (high confidence, 1.00)"
4,أطواق الذهب في المواعظ والخطب = كتاب المقالات,الزمخشري,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (34 pages, avg 922 chars/page) | matched: BookID 67764 ""أطواق الذهب في المواعظ والخطب = كتاب المقالات"" (high confidence, 1.00)"
5,اختتام بخاری، خطبات فقیر,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13973 ""اختتام بخاری، خطبات فقیر"" (high confidence, 1.00)"
6,اصلاحی تقریریں,حضرت مولانا مفتی محمد رفیع عثمانی صاحب,Maktaba Jibreel (Desktop),1,2,10,"1, 3, 4, 5, 6, 7, 8, 9, 10",INCOMPLETE (9 missing),YES (PDF),10 Volumes,Archive.org / Besturdubooks.net,,"PARTIAL - SOME PAGES NEED OCR (66/279 pages have real text) | matched: BookID 4362 ""اصلاحی تقریریں جلد 2"" (high confidence, 0.67)"
7,اصلاحی خطبات,حضرت مولانا مفتی محمد تقی عثمانی صاحب,Maktaba Jibreel (Mobile),18,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",20,"19, 20",INCOMPLETE (2 missing),YES (PDF),20 Volumes,Archive.org / Besturdubooks.net / Marfat.com,NOT CONFIDENTLY LOCATED as a clean multi-volume download - references found but no direct link: https://kitabbhubon.com/tag/%D9%85%D9%81%D8%AA%DB%8C-%D8%B1%D9%81%DB%8C%D8%B9-%D8%B9%D8%AB%D9%85%D8%A7%D9%86%DB%8C/ (has some volumes 2-9) | https://www.rekhta.org/editors/mufti-mohammad-rafi-usmani/ebooks (author list),"SEARCHABLE TEXT (241 pages, avg 1187 chars/page) | matched: BookID 322 ""اصلاحی خطبات جلد نمبر 1"" (medium confidence, 0.50)"
8,اصلاحی مواعظ,حضرت مولانا محمد یوسف لدھیانوی صاحب,Maktaba Jibreel (Desktop),8,"1, 2, 3, 4, 5, 6, 7, 8",8,None (COMPLETE),COMPLETE,YES (PDF),8 Volumes,Archive.org / Besturdubooks.net,STRONG MATCH - full 23-volume set (covers missing 19 & 20): https://archive.org/details/islahi-khutbat-by-mufti-taqi-usmani_202104 | https://besturdubooks.net/islahi-khutbaat/,"PARTIAL - SOME PAGES NEED OCR (69/374 pages have real text) | matched: BookID 4996 ""اصلاحی مواعظ جلد نمبر 1"" (medium confidence, 0.50)"
9,اطاعت رسول ﷺ - خطبات حکیم العصر سے,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13156 ""8 - اطاعت رسول ﷺ خطبات حکیم العصر سے"" (high confidence, 1.00)"
10,الخطب والمواعظ لأبي عبيد,أبو عُبيد القاسم بن سلاّم,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (107 pages, avg 510 chars/page) | matched: BookID 34565 ""الخطب والمواعظ لأبي عبيد"" (high confidence, 1.00)"
11,المواعظ,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (33 pages, avg 1518 chars/page) | matched: BookID 89107 ""المواعظ"" (high confidence, 1.00)"
12,المواعظ الإيمانية من الآيات القرآنية,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (333 pages, avg 1339 chars/page) | matched: BookID 81118 ""المواعظ الإيمانية من الآيات القرآنية"" (high confidence, 1.00)"
13,المواعظ الايمانية من القران الكريم,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (333 pages, avg 1338 chars/page) | matched: BookID 37921 ""المواعظ الايمانية من القران الكريم"" (high confidence, 1.00)"
14,المواعظ والاعتبار - part,Unknown,Maktaba Shamela,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (500 pages, avg 2973 chars/page) | matched: BookID 93871 ""المواعظ والاعتبار - part 1"" (high confidence, 1.00)"
15,اہمیت رمضان- اکابرین,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13564 ""اہمیت رمضان-مجموعہ بیانات اکابرین"" (medium confidence, 0.50)"
16,بیانات ختم بخاری، دارالعلوم مدنیہ بہاولپور,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13978 ""بیانات ختم بخاری، دارالعلوم مدنیہ بہاولپور"" (high confidence, 1.00)"
17,بیانات سیرت نبویہ صلی اللہ علیہ و سلم,حضرت مولانا ڈاکٹر محمد اسجد قاسمی ندوی صاحب,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (439 pages, avg 1236 chars/page) | matched: BookID 1700 ""بیانات سیرت نبویہ صلی اللہ علیہ و سلم"" (high confidence, 1.00)"
18,بیانات سیرت نبویہ-ٓمولانا اسجد قاسمی ندوی,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13429 ""بیانات سیرت نبویہ-ٓمولانا اسجد قاسمی ندوی"" (high confidence, 1.00)"
19,بیانات پالنپوریؒ,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13998 ""بیانات پالنپوریؒ"" (high confidence, 1.00)"
20,بیانات-جلد اول-مولانا ابراہیم دیولہ,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13999 ""بیانات-جلد اول-مولانا ابراہیم دیولہ"" (high confidence, 1.00)"
21,بیانات-جلد دوم-مولانا ابراہیم دیولہ,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14000 ""بیانات-جلد دوم-مولانا ابراہیم دیولہ"" (high confidence, 1.00)"
