SeriesID,Khutbat & Bayanat Series Title,Author / Scholar,Maktaba (Library),Volumes Present Count,Volumes Present List,True Total Volumes (Internet Reference),Missing / Remaining Volumes List,Status,Online Download Available?,Online Available Volumes Count,Download Sources / Reference Links
1,8 - اطاعت رسول ﷺ خطبات حکیم العصر سے,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
2,آسان خطبات برائے جمعہ وعیدین ونکاح,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
3,أطواق الذهب في المواعظ والحالطب,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
4,أطواق الذهب في المواعظ والخطب = كتاب المقالات,الزمخشري,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
5,اختتام بخاری، خطبات فقیر,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
6,اصلاحی تقریریں,حضرت مولانا مفتی محمد رفیع عثمانی صاحب,Maktaba Jibreel (Desktop),1,2,10,"1, 3, 4, 5, 6, 7, 8, 9, 10",INCOMPLETE (9 missing),YES (PDF),10 Volumes,Archive.org / Besturdubooks.net
7,اصلاحی خطبات,حضرت مولانا مفتی محمد تقی عثمانی صاحب,Maktaba Jibreel (Mobile),18,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",20,"19, 20",INCOMPLETE (2 missing),YES (PDF),20 Volumes,Archive.org / Besturdubooks.net / Marfat.com
8,اصلاحی مواعظ,حضرت مولانا محمد یوسف لدھیانوی صاحب,Maktaba Jibreel (Desktop),8,"1, 2, 3, 4, 5, 6, 7, 8",8,None (COMPLETE),COMPLETE,YES (PDF),8 Volumes,Archive.org / Besturdubooks.net
9,اطاعت رسول ﷺ - خطبات حکیم العصر سے,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
10,الخطب والمواعظ لأبي عبيد,أبو عُبيد القاسم بن سلاّم,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
11,المواعظ,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
12,المواعظ الإيمانية من الآيات القرآنية,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
13,المواعظ الايمانية من القران الكريم,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
14,المواعظ والاعتبار - part,Unknown,Maktaba Shamela,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
15,اہمیت رمضان- اکابرین,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
16,بیانات ختم بخاری، دارالعلوم مدنیہ بہاولپور,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
17,بیانات سیرت نبویہ صلی اللہ علیہ و سلم,حضرت مولانا ڈاکٹر محمد اسجد قاسمی ندوی صاحب,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net
