BOOKS SELECTED FOR WAQIAT ENCYCLOPEDIA EXTRACTION
Generated from a full scan of the 39,330-book catalog, 2026-08-22
==========================================================================================

HOW THIS LIST WAS BUILT
------------------------------------------------------------------------------------------
Every book whose title contains one of these keywords was pulled from catalog.db:
  ملفوظات, خطبات, حکایات, واقعات, قصص, ارشادات, بیانات, تذکرہ, سوانح, نصائح, مواعظ, ملفوظ, قصہ, حکایت
392 unique BookIDs matched. Each was then checked against books.db for its ACTUAL
page content (not just the catalog title), and classified into three tiers below by
average characters of real text per page:

  REAL     = avg chars/page >= 300  -> genuine narrative/discourse text, usable now
  STUB     = avg chars/page 1-299   -> title/caption-only, real story text missing
  ZERO     = no Pages rows at all   -> pure catalog placeholder, nothing imported

IMPORTANT CAVEAT: Books.SourcePdfHint (the column meant to record where a source PDF
lives on disk) is EMPTY for all 39,330 books in the catalog -- so this list cannot tell
you which STUB/ZERO books already have a PDF sitting on disk (just needs OCR) versus
which need to be sourced/downloaded from scratch. Cross-check against your actual PDF
source folder(s) -- e.g. F:\URDU OCR GOOGLE VISION, used for the Ihya Ulum al-Din import
-- to split STUB/ZERO into "OCR this" vs "download this".

SUMMARY
------------------------------------------------------------------------------------------
  REAL (ready now):        239 books
  STUB (needs OCR/import): 47 books
  ZERO (nothing imported): 106 books
  TOTAL scanned:           392 books

ALREADY IN PROGRESS
------------------------------------------------------------------------------------------
ملفوظات حکیم الامت (Ashraf Ali Thanvi discourses), 29 volumes, BookID 72-106.
Volume 1 = BookID 73 (375 pages). Extraction started this session -- 20
EventCandidates confirmed so far, pages 26-109 of Volume 1 covered. See
chat_logs/claude_code_session_2026-08-21.md for full detail and IDs.

COMPLETE UNUSED MULTI-VOLUME SERIES (real text, ready right now)
------------------------------------------------------------------------------------------
  خطبات حبان
      10 volumes (BookID 15809-15818) -- ~1,300-1,370 avg chars/page
  خطبات رحیمی
      10 volumes (BookID 2028-2038) -- ~1,260-1,330 avg chars/page
  خطبات رمضان المبارک
      4 volumes (BookID 15819, 15820, 15836, 15837) -- ~1,240-1,300 avg chars/page
  تذکرہ اکابر گنگوہ
      2 volumes (BookID 1993, 2054) -- ~1,280-1,320 avg chars/page
  ملفوظات حبیب الامت
      2 volumes (BookID 15835, 15839) -- ~1,190-1,340 avg chars/page
  خطبات حرمین
      2 volumes (BookID 16220, 16221) -- ~1,500-1,570 avg chars/page

==========================================================================================
TIER 1: REAL / READY NOW (239 books)
Format: BookID | Title | PageCount | Avg chars/page
==========================================================================================
67423 | دليل الواعظ إلى أدلة المواعظ - part 2 | 837p | ~1628 chars/page
1981 | تذکرہ حضرت آہ مظفر پوری | 723p | ~1048 chars/page
91874 | نصائح هامة على طريق النجاح - part 2 | 698p | ~1661 chars/page
16221 | خطبات حرمین(جلد2) | 612p | ~1565 chars/page
1993 | تذکرہ اکابر گنگوہ جلد اول | 608p | ~1319 chars/page
100169 | الإعجاز القصصي في القرآن الكريم القصة القرآنية وأسرار تكرارها في القرآن العظيم | 602p | ~1483 chars/page
2054 | تذکرہ اکابر گنگوہ جلد دوم | 600p | ~1278 chars/page
15831 | تفسیری خطبات حبان جلد اول | 600p | ~1334 chars/page
104 | ملفوظات حکیم الامت جلد 27 - 28 - یونیکوڈ | 558p | ~1841 chars/page
106644 | خير الكلام ما قل ودل - نصائح، وعبر، وعظات، وفوائد، وأقوال للسلف - - part 1 | 558p | ~1258 chars/page
100250 | نصائح إلى صاحب كل قائمة بريدية إسلامية - part 2 | 557p | ~1594 chars/page
100 | ملفوظات حکیم الامت جلد 23 - یونیکوڈ | 553p | ~1508 chars/page
1663 | تذکرہ شیخ الکل مولانا سلیم اللہ خان نور اللہ مرقدہ | 536p | ~1716 chars/page
73791 | الرد على محاضرات قصص تاريخية لطارق السويدان ويليه مناقشة لمحاضرة له مع الرافضة - part 2 | 531p | ~3429 chars/page
16220 | خطبات حرمین(جلد1) | 525p | ~1502 chars/page
92137 | الحيوانات وقصصها في القرآن الكريم | 522p | ~750 chars/page
100841 | حديقة الألحان- قصص للأطفال - part 3 | 515p | ~639 chars/page
18174 | قصص الأنبياء لابن كثير - part 1 | 500p | ~995 chars/page
19930 | عيون الحكم والمواعظ للواسطي - part 1 | 500p | ~635 chars/page
22697 | سورة القصص دراسة تحليلية - part 1 | 500p | ~1367 chars/page
51408 | قصص الأنبياء للراوندي - part 1 | 500p | ~899 chars/page
62026 | قصص الانبياء للجزائري - part 1 | 500p | ~1182 chars/page
93871 | المواعظ والاعتبار - part 1 | 500p | ~2973 chars/page
92905 | فيض الرحيم الرحمن في أحكام ومواعظ رمضان - part 1 | 490p | ~1130 chars/page
103 | ملفوظات حکیم الامت جلد 26 - یونیکوڈ | 489p | ~1425 chars/page
52798 | الحلم والمستقبل - قصص للأطفال - part 2 | 478p | ~924 chars/page
77602 | قصص الأنبياء - part 2 | 474p | ~1109 chars/page
100191 | تسلية الحزين بقصص الصابرين | 444p | ~1775 chars/page
