BookID,Title,Author,Maktaba,Category,PageCount,ActionStatus
1,کفایت المفتی جلد 6,حضرت مولانا مفتی محمد کفایت اللہ دہلوی صاحب,Maktaba Jibreel (Mobile),155,458,DELETED (Duplicate of BookID #2320)
2,کفایت المفتی جلد 7,حضرت مولانا مفتی محمد کفایت اللہ دہلوی صاحب,Maktaba Jibreel (Mobile),155,369,DELETED (Duplicate of BookID #2320)
3,کفایت المفتی جلد 8,حضرت مولانا مفتی محمد کفایت اللہ دہلوی صاحب,Maktaba Jibreel (Mobile),155,411,DELETED (Duplicate of BookID #2320)
4,کفایت المفتی جلد 9,حضرت مولانا مفتی محمد کفایت اللہ دہلوی صاحب,Maktaba Jibreel (Mobile),155,473,DELETED (Duplicate of BookID #2320)
5,اصلی زینت,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,31,REMAINING (Kept Primary)
6,خواتین کا اصلی زیور ستر اور پردہ ہے,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,48,REMAINING (Kept Primary)
7,ڈیجیٹل تصویر اور ٹی وی چینل کے ذریعے تبلیغ کا حکم,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,117,REMAINING (Kept Primary)
8,غیر سودی بینکاری ایک منصفانہ علمی جائزہ,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,321,REMAINING (Kept Primary)
9,اسلامی بینکاری حضرات مجوزین کی تحریرات کے آئینے میں,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,18,REMAINING (Kept Primary)
10,اسلام کی حقیقت اور سنت و بدعت کی وضاحت,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,33,REMAINING (Kept Primary)
11,استخارہ و استشارہ کی اہمیت,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,33,REMAINING (Kept Primary)
12,کپڑے موڑ کر ٹخنے کھلے رکھنے کا حکم,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,32,REMAINING (Kept Primary)
13,مسائل رمضان المبارک,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,65,REMAINING (Kept Primary)
14,مروجہ تجارتی کمپنیاں اور اسلامی شرکت و مضاربت,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,87,REMAINING (Kept Primary)
15,مسلمان تاجر,حضرت مولانا مفتی احمد ممتاز صاحب,Maktaba Jibreel (Mobile),630,97,REMAINING (Kept Primary)
16,اسلام اور تربیت اولاد مکمل جلد 1,حضرت شیخ عبد اللہ ناصح علوان صاحب,Maktaba Jibreel (Mobile),20,597,REMAINING (Kept Primary)
17,امام اعظم رحمہ اللہ اور علم الحدیث,حضرت مولانا محمد علی صاحب صدیقی,Maktaba Jibreel (Mobile),3,813,REMAINING (Kept Primary)
18,تفسیر عثمانی جلد 1,حضرت مولانا شبیر احمد عثمانی صاحب,Maktaba Jibreel (Mobile),179,905,DELETED (Duplicate of BookID #20)
19,تفسیر عثمانی جلد 2,حضرت مولانا شبیر احمد عثمانی صاحب,Maktaba Jibreel (Mobile),179,877,DELETED (Duplicate of BookID #20)
20,تفسیر عثمانی جلد 3,حضرت مولانا شبیر احمد عثمانی صاحب,Maktaba Jibreel (Mobile),179,945,REMAINING (Kept Primary)
21,قرآن مجید 18 لائنوں والا تاج کمپنی,کلام رب العالمین,Maktaba Jibreel (Mobile),188,489,REMAINING (Kept Primary)
22,قرآن مجید 16 لائنوں والا عکسی تاج کمپنی,کلام رب العالمین,Maktaba Jibreel (Mobile),188,559,REMAINING (Kept Primary)
23,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 1,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,703,DELETED (Duplicate of BookID #30)
24,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 2,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,629,DELETED (Duplicate of BookID #30)
25,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 3,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,633,DELETED (Duplicate of BookID #30)
26,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 4,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,679,DELETED (Duplicate of BookID #30)
27,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 5,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,663,DELETED (Duplicate of BookID #30)
28,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 6,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,769,DELETED (Duplicate of BookID #30)
29,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 7,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,817,DELETED (Duplicate of BookID #30)
30,معارف القرآن مفتی محمد شفیع رحمہ اللہ جلد 8,حضرت مولانا مفتی محمد شفیع صاحب,Maktaba Jibreel (Mobile),181,857,REMAINING (Kept Primary)
31,اعمال قرآنی تین حصے کامل,حکیم الامت حضرت مولانا اشرف علی تھانوی صاحب,Maktaba Jibreel (Mobile),11,161,REMAINING (Kept Primary)
32,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 1,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,737,DELETED (Duplicate of BookID #41)
33,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 2,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,777,DELETED (Duplicate of BookID #41)
34,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 3,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,704,DELETED (Duplicate of BookID #41)
35,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 4,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,964,DELETED (Duplicate of BookID #41)
36,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 5,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,889,DELETED (Duplicate of BookID #41)
37,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 6,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,917,DELETED (Duplicate of BookID #41)
38,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 7,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,457,DELETED (Duplicate of BookID #41)
39,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 8,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,558,DELETED (Duplicate of BookID #41)
40,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 9,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,399,DELETED (Duplicate of BookID #41)
41,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 10,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,1071,REMAINING (Kept Primary)
42,مسند امام احمد بن حنبل رحمہ اللہ مترجم اردو جلد 11,حضرت مولانا محمد ظفر اقبال صاحب,Maktaba Jibreel (Mobile),205,652,DELETED (Duplicate of BookID #41)
