Bucket,BookID,DuplicateOfBookID,MatchType,Title,Author,PageCountA,PageCountB,CommonPages,OverallSimilarity
HIGH_CONFIDENCE_SAME_BOOK,15804,375,exact_title_and_source_id,شرح ثمیری شرح اردو قدوری جلد 2 - یونیکوڈ,حضرت مولانا ثمیر الدین قاسمی صاحب,457,457,457,1.0
HIGH_CONFIDENCE_SAME_BOOK,4746,2345,exact_title_and_author_same_library,بہشتی گوہر,حکیم الامت حضرت مولانا اشرف علی تھانوی صاحب,241,241,241,1.0
HIGH_CONFIDENCE_SAME_BOOK,4747,2347,exact_title_and_author_same_library,بہشتی زیور مکمل,حکیم الامت حضرت مولانا اشرف علی تھانوی صاحب,639,639,639,1.0
HIGH_CONFIDENCE_SAME_BOOK,3772,3727,exact_title_and_author_same_library,درسی تقریر جلد 1,حضرت مولانا محمد امین صاحب,569,336,336,1.0
HIGH_CONFIDENCE_SAME_BOOK,3793,3791,exact_title_and_author_same_library,تکمیل الامانی جلد 1,حضرت مولانا جمیل احمد سکروڈھوی صاحب,381,273,273,1.0
HIGH_CONFIDENCE_SAME_BOOK,3794,3792,exact_title_and_author_same_library,تکمیل الامانی جلد 2,حضرت مولانا جمیل احمد سکروڈھوی صاحب,389,270,270,1.0
HIGH_CONFIDENCE_SAME_BOOK,15792,4188,exact_title_and_source_id,کریما سعدے  طبع مکتبۃ البشری,درس نظامی,25,25,25,1.0
HIGH_CONFIDENCE_SAME_BOOK,4198,4191,exact_title_and_author_same_library,اقناع الضمیر ترجمہ نحو میر طبع قدیمی کتب خانہ,درس نظامی,49,49,49,1.0
HIGH_CONFIDENCE_SAME_BOOK,4231,4220,exact_title_and_author_same_library,کنز الدقائق جلد نمبر 3,درس نظامی,565,565,565,1.0
HIGH_CONFIDENCE_SAME_BOOK,4227,4226,exact_title_and_author_same_library,کنز الدقائق جلد نمبر 1,درس نظامی,541,541,541,1.0
HIGH_CONFIDENCE_SAME_BOOK,4230,4228,exact_title_and_author_same_library,کنز الدقائق جلد نمبر 2,درس نظامی,519,519,519,1.0
HIGH_CONFIDENCE_SAME_BOOK,4380,4333,exact_title_and_author_same_library,مختصر المعانی مع الحاشیۃ لشیخ الھند محمود حسن رحمہ اللہ جلد نمبر 2,درس نظامی,353,353,353,1.0
HIGH_CONFIDENCE_SAME_BOOK,4349,4348,exact_title_and_author_same_library,الھدایۃ شرح بدایۃ المبتدی جلد نمبر 1,درس نظامی,373,303,303,1.0
HIGH_CONFIDENCE_SAME_BOOK,4352,4350,exact_title_and_author_same_library,الھدایۃ شرح بدایۃ المبتدی جلد نمبر 2,درس نظامی,343,419,343,1.0
