GroupID,DuplicateType,BookID,Title,Author,Maktaba,Category,PageCount
1,Title Variant / Disambiguated (2),99554,001 م أقوال علماء السنة في جماعة التبليغ - part 1,,Maktaba Shamela,General,280
1,Title Variant / Disambiguated (2),99555,001 م أقوال علماء السنة في جماعة التبليغ - part 2,,Maktaba Shamela,General,306
2,Title Variant / Disambiguated (2),64323,004 م أهمية الصدق وضرورته لقيام الدنيا والدين - part 1,,Maktaba Shamela,General,487
2,Title Variant / Disambiguated (2),64324,004 م أهمية الصدق وضرورته لقيام الدنيا والدين - part 2,,Maktaba Shamela,General,521
2,Title Variant / Disambiguated (2),64325,004 م أهمية الصدق وضرورته لقيام الدنيا والدين - part 3,,Maktaba Shamela,General,485
2,Title Variant / Disambiguated (2),64326,004 م أهمية الصدق وضرورته لقيام الدنيا والدين - part 4,,Maktaba Shamela,General,549
3,Title Variant / Disambiguated (2),84620,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 1,,Maktaba Shamela,General,265
3,Title Variant / Disambiguated (2),84621,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 2,,Maktaba Shamela,General,303
3,Title Variant / Disambiguated (2),84622,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 3,,Maktaba Shamela,General,284
3,Title Variant / Disambiguated (2),84623,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 4,,Maktaba Shamela,General,267
3,Title Variant / Disambiguated (2),84624,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 5,,Maktaba Shamela,General,329
3,Title Variant / Disambiguated (2),84625,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 6,,Maktaba Shamela,General,288
3,Title Variant / Disambiguated (2),84626,005 ك النصيحة هي المسؤولية المشتركة في العمل الدعوي - part 7,,Maktaba Shamela,General,601
4,Title Variant / Disambiguated (2),42281,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 1,,Maktaba Shamela,General,15
4,Title Variant / Disambiguated (2),42282,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 2,,Maktaba Shamela,General,13
4,Title Variant / Disambiguated (2),42283,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 3,,Maktaba Shamela,General,16
4,Title Variant / Disambiguated (2),42284,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 4,,Maktaba Shamela,General,13
4,Title Variant / Disambiguated (2),42285,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 5,,Maktaba Shamela,General,10
4,Title Variant / Disambiguated (2),42286,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 6,,Maktaba Shamela,General,20
4,Title Variant / Disambiguated (2),42287,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 7,,Maktaba Shamela,General,16
4,Title Variant / Disambiguated (2),42288,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 8,,Maktaba Shamela,General,14
4,Title Variant / Disambiguated (2),42289,009 م التوضيح لما في خطاب محمد قطب عن كتب أخيه - part 9,,Maktaba Shamela,General,12
5,Title Variant / Disambiguated (2),23471,00موسوعة أهل السنة كاملة -عبد الرحمن دمشقية - part 1,,Maktaba Shamela,General,500
5,Title Variant / Disambiguated (2),23472,00موسوعة أهل السنة كاملة -عبد الرحمن دمشقية - part 2,,Maktaba Shamela,General,500
5,Title Variant / Disambiguated (2),23473,00موسوعة أهل السنة كاملة -عبد الرحمن دمشقية - part 3,,Maktaba Shamela,General,379
6,Title Variant / Disambiguated (2),84751,010 م نصيحة إلى الأمة الجزائرية شعبا وحكومة - part 1,,Maktaba Shamela,General,604
6,Title Variant / Disambiguated (2),84752,010 م نصيحة إلى الأمة الجزائرية شعبا وحكومة - part 2,,Maktaba Shamela,General,624
6,Title Variant / Disambiguated (2),84753,010 م نصيحة إلى الأمة الجزائرية شعبا وحكومة - part 3,,Maktaba Shamela,General,628
