SeriesID,Khutbat & Bayanat Series Title,Author / Scholar,Maktaba (Library),Volumes Present Count,Volumes Present List,True Total Volumes (Internet Reference),Missing / Remaining Volumes List,Status,Online Download Available?,Online Available Volumes Count,Download Sources / Reference Links
1,اصلاحی خطبات,مفتی تقی عثمانی,Maktaba Jibreel,2,"1, 2",20,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",INCOMPLETE (18 missing),YES (PDF),20 Volumes,Archive.org / Besturdubooks.net / Marfat.com
2,خطبات فقیر,پیر ذوالفقار احمد نقشبندی,Not In Library,0,None (0 Present),45,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45",NOT IN LIBRARY (0 Volumes),YES (PDF),45 Volumes,Archive.org / Naqshbandi.org / Besturdubooks.net
3,مواعظ اشرفیہ / خطبات حکیم الامت,مولانا اشرف علی تھانوی,Not In Library,0,None (0 Present),32,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",NOT IN LIBRARY (0 Volumes),YES (PDF),32 Volumes,Archive.org / Kitabosunnat.com / Rekhta
4,خطبات رحیمی,مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی,Not In Library,0,None (0 Present),10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",NOT IN LIBRARY (0 Volumes),YES (PDF),10 Volumes,Archive.org / Besturdubooks.net
5,اصلاحی تقریریں,مفتی محمد رفیع عثمانی,Not In Library,0,None (0 Present),10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",NOT IN LIBRARY (0 Volumes),YES (PDF),10 Volumes,Archive.org / Besturdubooks.net
6,خطبات علی میاں,مولانا سید ابوالحسن علی ندوی,Not In Library,0,None (0 Present),8,"1, 2, 3, 4, 5, 6, 7, 8",NOT IN LIBRARY (0 Volumes),YES (PDF),8 Volumes,AbulHasanAliNadwi.org / Archive.org
7,خطبات قاسمی,مولانا محمد ضیاء القاسمی,Not In Library,0,None (0 Present),8,"1, 2, 3, 4, 5, 6, 7, 8",NOT IN LIBRARY (0 Volumes),YES (PDF),8 Volumes,Archive.org / Besturdubooks.net
8,خطبات محمود,مفتی محمود حسن گنگوہی / مفتی محمود بارڈولی,Not In Library,0,None (0 Present),10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",NOT IN LIBRARY (0 Volumes),YES (PDF),10 Volumes,Archive.org / Besturdubooks.net
9,خطبات بہاولپور,ڈاکٹر محمد حمید اللہ,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Archive.org / Rekhta / Iqbal Cyber Library
10,خطبات مدنی,مولانا سید حسین احمد مدنی,Not In Library,0,None (0 Present),3,"1, 2, 3",NOT IN LIBRARY (0 Volumes),YES (PDF),3 Volumes,Archive.org / Marfat.com
